xe   ye   ze  theta_0   theta_1   theta_2   theta_3
12 20 10 0.694738 1.717057 1.984943 0.000000 
12 20 8 0.588003 1.797660 1.923514 0.000000 
12 20 6 0.463648 1.863109 1.879903 0.000000 
12 20 4 0.321751 1.911752 1.851235 0.000000 
12 20 2 0.165149 1.941841 1.835146 0.000000 
12 20 0 0.000000 1.952038 1.829985 0.000000 
15 6 0 0.000000 1.728779 0.786020 0.000000 
15 8 0 0.000000 1.827808 0.897324 0.000000 
15 10 0 0.000000 1.885086 1.027411 0.000000 
15 12 0 0.000000 1.908932 1.173782 0.000000 
15 14 0 0.000000 1.905714 1.336054 0.000000 
15 16 0 0.000000 1.879359 1.515954 0.000000 
15 18 0 0.000000 1.831204 1.717994 0.000000 
15 20 0 0.000000 1.759167 1.951799 0.000000 
15 20 2 0.132552 1.750227 1.958644 0.000000 
15 18 2 0.132552 1.822068 1.724412 0.000000 
15 16 2 0.132552 1.869825 1.522308 0.000000 
15 14 2 0.132552 1.895660 1.342573 0.000000 
15 12 2 0.132552 1.898304 1.180653 0.000000 
15 10 2 0.132552 1.873928 1.034807 0.000000 
15 8 2 0.132552 1.816349 0.905416 0.000000 
15 6 2 0.132552 1.717583 0.794949 0.000000 
15 6 4 0.260602 1.685226 0.821665 0.000000 
15 8 4 0.260602 1.783073 0.929743 0.000000 
15 10 4 0.260602 1.841367 1.057131 0.000000 
15 12 4 0.260602 1.867156 1.201453 0.000000 
15 14 4 0.260602 1.866084 1.362362 0.000000 
15 16 4 0.260602 1.841682 1.541641 0.000000 
15 18 4 0.260602 1.795014 1.743991 0.000000 
15 20 4 0.260602 1.723648 1.979604 0.000000 
15 20 6 0.380506 1.680062 2.015939 0.000000 
15 18 6 0.380506 1.751006 1.777671 0.000000 
15 16 6 0.380506 1.796201 1.574717 0.000000 
15 14 6 0.380506 1.818596 1.396051 0.000000 
15 12 6 0.380506 1.817497 1.236683 0.000000 
15 10 6 0.380506 1.789874 1.094713 0.000000 
15 8 6 0.380506 1.730921 0.970401 0.000000 
15 6 6 0.380506 1.634934 0.865930 0.000000 
15 6 8 0.489957 1.570796 0.927295 0.000000 
15 8 8 0.489957 1.663771 1.027411 0.000000 
15 10 8 0.489957 1.722812 1.147936 0.000000 
15 12 8 0.489957 1.752116 1.287002 0.000000 
15 14 8 0.489957 1.755451 1.444535 0.000000 
15 16 8 0.489957 1.735157 1.622671 0.000000 
15 18 8 0.489957 1.691356 1.826921 0.000000 
15 20 8 0.489957 1.620226 2.069763 0.000000 
15 20 10 0.588003 1.544608 2.144269 0.000000 
15 18 10 0.588003 1.617368 1.893748 0.000000 
15 16 10 0.588003 1.660435 1.686943 0.000000 
15 14 10 0.588003 1.679069 1.508865 0.000000 
15 12 10 0.588003 1.673971 1.353115 0.000000 
15 10 10 0.588003 1.643648 1.217133 0.000000 
15 8 10 0.588003 1.585458 1.100665 0.000000 
15 6 10 0.588003 1.496651 1.005144 0.000000 
15 6 12 0.674741 1.415400 1.098861 0.000000 
15 8 12 0.674741 1.499071 1.190013 0.000000 
15 10 12 0.674741 1.555322 1.302612 0.000000 
15 12 12 0.674741 1.585647 1.435775 0.000000 
15 14 12 0.674741 1.591576 1.590261 0.000000 
15 16 12 0.674741 1.573616 1.769339 0.000000 
15 18 12 0.674741 1.529909 1.980919 0.000000 
15 20 12 0.674741 1.452739 2.244529 0.000000 
15 20 14 0.750929 1.341855 2.379925 0.000000 
15 18 14 0.750929 1.428863 2.092665 0.000000 
15 16 14 0.750929 1.475580 1.872366 0.000000 
15 14 14 0.750929 1.494431 1.690322 0.000000 
15 12 14 0.750929 1.488984 1.535957 0.000000 
15 10 14 0.750929 1.459873 1.404833 0.000000 
15 8 14 0.750929 1.406638 1.295461 0.000000 
15 6 14 0.750929 1.328810 1.208061 0.000000 
15 6 16 0.817645 1.237578 1.332872 0.000000 
15 8 16 0.817645 1.309082 1.417473 0.000000 
15 10 16 0.817645 1.358291 1.524724 0.000000 
15 12 16 0.817645 1.384829 1.655211 0.000000 
15 14 16 0.817645 1.388097 1.811502 0.000000 
15 16 16 0.817645 1.366017 2.000021 0.000000 
15 18 16 0.817645 1.312129 2.236544 0.000000 
15 20 16 0.817645 1.202388 2.573322 0.000000 
15 20 18 0.876058 0.974070 2.952270 0.000000 
15 18 18 0.876058 1.172723 2.429424 0.000000 
15 16 18 0.876058 1.242495 2.159719 0.000000 
15 14 18 0.876058 1.271595 1.958094 0.000000 
15 12 18 0.876058 1.272809 1.796317 0.000000 
15 10 18 0.876058 1.250425 1.664175 0.000000 
15 8 18 0.876058 1.206255 1.557372 0.000000 
15 6 18 0.876058 1.141450 1.474260 0.000000 
15 6 20 0.927295 1.039206 1.634543 0.000000 
15 8 20 0.927295 1.096856 1.717994 0.000000 
15 10 20 0.927295 1.134757 1.826921 0.000000 
15 12 20 0.927295 1.150836 1.964600 0.000000 
15 14 20 0.927295 1.141458 2.138595 0.000000 
15 16 20 0.927295 1.097671 2.368215 0.000000 
15 18 20 0.927295 0.982502 2.731383 0.000000 
15 20 20 0.927295 0.837981 3.141593 0.000000 
18 6 0 0.000000 1.498606 1.002997 0.000000 
18 6 2 0.110657 1.490819 1.011581 0.000000 
18 6 4 0.218669 1.467950 1.037256 0.000000 
18 6 6 0.321751 1.431331 1.079805 0.000000 
18 6 8 0.418224 1.382758 1.138924 0.000000 
18 6 10 0.507098 1.324057 1.214324 0.000000 
18 6 12 0.588003 1.256729 1.305882 0.000000 
18 6 14 0.661043 1.181723 1.413859 0.000000 
18 6 16 0.726642 1.099288 1.539192 0.000000 
18 6 18 0.785398 1.008805 1.683981 0.000000 
18 6 20 0.837981 0.908419 1.852426 0.000000 
18 8 20 0.837981 0.956551 1.940012 0.000000 
18 8 18 0.785398 1.064301 1.767977 0.000000 
18 8 16 0.726642 1.161152 1.622183 0.000000 
18 8 14 0.661043 1.249335 1.497400 0.000000 
18 8 12 0.588003 1.329567 1.390965 0.000000 
18 8 10 0.507098 1.401558 1.301547 0.000000 
18 8 8 0.418224 1.464257 1.228545 0.000000 
18 8 6 0.321751 1.516043 1.171753 0.000000 
18 8 4 0.218669 1.554996 1.131148 0.000000 
18 8 2 0.110657 1.579273 1.106764 0.000000 
18 8 0 0.000000 1.587530 1.098632 0.000000 
18 10 0 0.000000 1.645755 1.215201 0.000000 
18 10 2 0.110657 1.637357 1.222932 0.000000 
18 10 4 0.218669 1.612612 1.246170 0.000000 
