xe   ye   ze theta_0   theta_1   theta_2   theta_3
12 18 8 33.690067 107.185707 96.907341 0.000000 
12 18 10 39.805573 102.463753 100.208092 0.000000 
12 18 12 45.000000 97.027626 104.571709 0.000000 
12 18 14 49.398705 90.942703 110.166466 0.000000 
12 18 16 53.130104 84.196716 117.243805 0.000000 
12 18 18 56.309933 76.641891 126.264038 0.000000 
12 18 20 59.036243 67.809448 138.293961 0.000000 
12 20 20 59.036243 57.340527 166.349457 0.000000 
12 20 18 56.309933 70.730865 144.755051 0.000000 
12 20 16 53.130104 79.481956 133.075623 0.000000 
12 20 14 49.398705 86.706360 124.745636 0.000000 
12 20 12 45.000000 92.953438 118.475098 0.000000 
12 20 10 39.805573 98.380112 113.728859 0.000000 
12 20 8 33.690067 102.998306 110.209221 0.000000 
12 20 6 26.565052 106.748260 107.710533 0.000000 
12 20 4 18.434948 109.535301 106.067978 0.000000 
12 20 2 9.462322 111.259270 105.146141 0.000000 
12 20 0 0.000000 111.843529 104.850410 0.000000 
15 6 0 0.000000 99.051758 45.035656 0.000000 
15 8 0 0.000000 104.725662 51.412895 0.000000 
15 10 0 0.000000 108.007454 58.866295 0.000000 
15 12 0 0.000000 109.373749 67.252747 0.000000 
15 14 0 0.000000 109.189369 76.550240 0.000000 
15 16 0 0.000000 107.679367 86.857765 0.000000 
15 18 0 0.000000 104.920273 98.433807 0.000000 
15 20 0 0.000000 100.792824 111.829872 0.000000 
15 20 2 7.594644 100.280617 112.222061 0.000000 
15 18 2 7.594644 104.396828 98.801514 0.000000 
15 16 2 7.594644 107.133057 87.221817 0.000000 
15 14 2 7.594644 108.613335 76.923767 0.000000 
15 12 2 7.594644 108.764832 67.646416 0.000000 
15 10 2 7.594644 107.368164 59.290081 0.000000 
15 8 2 7.594644 104.069107 51.876514 0.000000 
15 6 2 7.594644 98.410240 45.547211 0.000000 
15 6 4 14.931417 96.556366 47.077950 0.000000 
15 8 4 14.931417 102.162582 53.270363 0.000000 
15 10 4 14.931417 105.502541 60.569126 0.000000 
15 12 4 14.931417 106.980171 68.838203 0.000000 
15 14 4 14.931417 106.918755 78.057571 0.000000 
15 16 4 14.931417 105.520584 88.329536 0.000000 
15 18 4 14.931417 102.846733 99.923347 0.000000 
15 20 4 14.931417 98.757782 113.422966 0.000000 
15 20 6 21.801409 96.260468 115.504814 0.000000 
15 18 6 21.801409 100.325233 101.853020 0.000000 
15 16 6 21.801409 102.914726 90.224617 0.000000 
15 14 6 21.801409 104.197876 79.987823 0.000000 
15 12 6 21.801409 104.134911 70.856720 0.000000 
15 10 6 21.801409 102.552223 62.722412 0.000000 
15 8 6 21.801409 99.174492 55.599880 0.000000 
15 6 6 21.801409 93.674812 49.614162 0.000000 
15 6 8 28.072487 90.000000 53.130100 0.000000 
15 8 8 28.072487 95.327072 58.866295 0.000000 
15 10 8 28.072487 98.709854 65.771896 0.000000 
15 12 8 28.072487 100.388855 73.739792 0.000000 
15 14 8 28.072487 100.579933 82.765770 0.000000 
15 16 8 28.072487 99.417206 92.972221 0.000000 
15 18 8 28.072487 96.907570 104.674850 0.000000 
15 20 8 28.072487 92.832085 118.588699 0.000000 
15 20 10 33.690067 88.499542 122.857552 0.000000 
15 18 10 33.690067 92.668350 108.503769 0.000000 
15 16 10 33.690067 95.135925 96.654709 0.000000 
15 14 10 33.690067 96.203560 86.451576 0.000000 
15 12 10 33.690067 95.911461 77.527786 0.000000 
15 10 10 33.690067 94.174103 69.736595 0.000000 
15 8 10 33.690067 90.840057 63.063473 0.000000 
15 6 10 33.690067 85.751793 57.590538 0.000000 
15 6 12 38.659809 81.096466 62.960091 0.000000 
15 8 12 38.659809 85.890450 68.182709 0.000000 
15 10 12 38.659809 89.113365 74.634155 0.000000 
15 12 12 38.659809 90.850899 82.263870 0.000000 
15 14 12 38.659809 91.190598 91.115227 0.000000 
15 16 12 38.659809 90.161552 101.375656 0.000000 
15 18 12 38.659809 87.657310 113.498329 0.000000 
15 20 12 38.659809 83.235825 128.602036 0.000000 
15 20 14 43.025066 76.882622 136.359650 0.000000 
15 18 14 43.025066 81.867813 119.900871 0.000000 
15 16 14 43.025066 84.544510 107.278664 0.000000 
15 14 14 43.025066 85.624611 96.848335 0.000000 
15 12 14 43.025066 85.312492 88.003838 0.000000 
15 10 14 43.025066 83.644562 80.490982 0.000000 
15 8 14 43.025066 80.594444 74.224449 0.000000 
15 6 14 43.025066 76.135201 69.216820 0.000000 
15 6 16 46.847610 70.907974 76.367943 0.000000 
15 8 16 46.847610 75.004890 81.215248 0.000000 
15 10 16 46.847610 77.824341 87.360237 0.000000 
15 12 16 46.847610 79.344864 94.836586 0.000000 
15 14 16 46.847610 79.532127 103.791435 0.000000 
15 16 16 46.847610 78.266998 114.592773 0.000000 
15 18 16 46.847610 75.179436 128.144547 0.000000 
15 20 16 46.847610 68.891747 147.440460 0.000000 
15 20 18 50.194427 55.810089 169.152603 0.000000 
15 18 18 50.194427 67.192101 139.195755 0.000000 
15 16 18 50.194427 71.189743 123.742767 0.000000 
15 14 18 50.194427 72.857018 112.190506 0.000000 
15 12 18 50.194427 72.926590 102.921356 0.000000 
15 10 18 50.194427 71.644089 95.350197 0.000000 
15 8 18 50.194427 69.113312 89.230858 0.000000 
15 6 18 50.194427 65.400253 84.468872 0.000000 
15 6 20 53.130104 59.542133 93.652428 0.000000 
15 8 20 53.130104 62.845249 98.433807 0.000000 
15 10 20 53.130104 65.016777 104.674850 0.000000 
15 12 20 53.130104 65.938049 112.563286 0.000000 
15 14 20 53.130104 65.400749 122.532486 0.000000 
15 16 20 53.130104 62.891926 135.688751 0.000000 
15 18 20 53.130104 56.293232 156.496704 0.000000 
15 20 20 53.130104 48.012787 180.000000 0.000000 
18 6 0 0.000000 85.863792 57.467510 0.000000 
18 6 2 6.340192 85.417610 57.959339 0.000000 
18 6 4 12.528809 84.107323 59.430412 0.000000 
18 6 6 18.434948 82.009224 61.868271 0.000000 
18 6 8 23.962490 79.226189 65.255539 0.000000 
18 6 10 29.054604 75.862854 69.575623 0.000000 
18 6 12 33.690067 72.005257 74.821556 0.000000 
18 6 14 37.874985 67.707741 81.008171 0.000000 
18 6 16 41.633541 62.984554 88.189209 0.000000 
18 6 18 45.000000 57.800259 96.484978 0.000000 
18 6 20 48.012787 52.048561 106.136192 0.000000 
18 8 20 48.012787 54.806309 111.154526 0.000000 
18 8 18 45.000000 60.979935 101.297638 0.000000 
18 8 16 41.633541 66.529091 92.944237 0.000000 
18 8 14 37.874985 71.581642 85.794685 0.000000 
18 8 12 33.690067 76.178566 79.696449 0.000000 
18 8 10 29.054604 80.303368 74.573151 0.000000 
18 8 8 23.962490 83.895744 70.390427 0.000000 
18 8 6 18.434948 86.862854 67.136482 0.000000 
18 8 4 12.528809 89.094727 64.809990 0.000000 
18 8 2 6.340192 90.485703 63.412891 0.000000 
18 8 0 0.000000 90.958786 62.946976 0.000000 
18 10 0 0.000000 94.294807 69.625908 0.000000 
18 10 2 6.340192 93.813660 70.068825 0.000000 
18 10 4 12.528809 92.395866 71.400269 0.000000 
18 10 6 18.434948 90.111801 73.628120 0.000000 
18 10 8 23.962490 87.059456 76.765190 0.000000 
18 10 10 29.054604 83.342613 80.831345 0.000000 
18 10 12 33.690067 79.050087 85.859840 0.000000 
18 10 14 37.874985 74.238831 91.910362 0.000000 
18 10 16 41.633541 68.918785 99.092606 0.000000 
18 10 18 45.000000 63.032177 107.612175 0.000000 
18 10 20 48.012787 56.406876 117.875458 0.000000 
18 12 20 48.012787 56.615509 126.721184 0.000000 
18 12 18 45.000000 63.818714 115.654457 0.000000 
18 12 16 41.633541 70.067520 106.762253 0.000000 
18 12 14 37.874985 75.631798 99.422096 0.000000 
18 12 12 33.690067 80.607773 93.334999 0.000000 
18 12 10 29.054604 85.004707 88.339867 0.000000 
18 12 8 23.962490 88.778992 84.343056 0.000000 
18 12 6 18.434948 91.854424 81.286125 0.000000 
18 12 4 12.528809 94.140755 79.129814 0.000000 
18 12 2 6.340192 95.553215 77.847122 0.000000 
18 12 0 0.000000 96.031342 77.421455 0.000000 
18 14 0 0.000000 96.321465 86.347572 0.000000 
18 14 2 6.340192 95.850990 86.764122 0.000000 
18 14 4 12.528809 94.457458 88.022308 0.000000 
18 14 6 18.434948 92.190216 90.147469 0.000000 
18 14 8 23.962490 89.118103 93.181679 0.000000 
18 14 10 29.054604 85.312851 97.186722 0.000000 
18 14 12 33.690067 80.830025 102.254120 0.000000 
18 14 14 37.874985 75.687515 108.528740 0.000000 
18 14 16 41.633541 69.834557 116.261909 0.000000 
18 14 18 45.000000 63.085957 125.945602 0.000000 
18 14 20 48.012787 54.906418 138.763550 0.000000 
18 16 20 48.012787 49.169655 158.399521 0.000000 
18 16 18 45.000000 60.174324 139.888718 0.000000 
18 16 16 41.633541 67.890694 128.334610 0.000000 
18 16 14 37.874985 74.221085 119.706566 0.000000 
18 16 12 33.690067 79.616997 112.956100 0.000000 
18 16 10 29.054604 84.226753 107.630730 0.000000 
18 16 8 23.962490 88.082085 103.490257 0.000000 
18 16 6 18.434948 91.159653 100.390244 0.000000 
18 16 4 12.528809 93.411972 98.236961 0.000000 
18 16 2 6.340192 94.788559 96.968925 0.000000 
18 16 0 0.000000 95.252007 96.550224 0.000000 
18 18 0 0.000000 92.784149 108.394356 0.000000 
18 18 2 6.340192 92.321548 108.833099 0.000000 
18 18 4 12.528809 90.942703 110.166466 0.000000 
18 18 6 18.434948 88.670769 112.447281 0.000000 
18 18 8 23.962490 85.531799 115.770126 0.000000 
18 18 10 29.054604 81.535423 120.289047 0.000000 
18 18 12 33.690067 76.641891 126.264038 0.000000 
18 18 14 37.874985 70.691750 134.189987 0.000000 
18 18 16 41.633541 63.178226 145.258789 0.000000 
18 18 18 45.000000 51.456146 165.077744 0.000000 
18 18 20 48.012787 42.119678 180.000000 0.000000 
18 20 20 48.012787 45.133167 180.000000 0.000000 
18 20 18 45.000000 47.299419 180.000000 0.000000 
18 20 16 41.633541 49.497391 180.000000 0.000000 
18 20 14 37.874985 62.615051 157.253540 0.000000 
18 20 12 33.690067 70.730865 144.755051 0.000000 
18 20 10 29.054604 76.505821 136.848495 0.000000 
18 20 8 23.962490 80.943901 131.295792 0.000000 
18 20 6 18.434948 84.315025 127.374222 0.000000 
18 20 4 12.528809 86.706360 124.745636 0.000000 
18 20 2 6.340192 88.140648 123.229752 0.000000 
18 20 0 0.000000 88.619209 122.734077 0.000000 
